pin,scan_date,verify_mode,io_mode,work_code
9549,01-03-24 07:33,1,0,0
9549,08-03-24 07:23,1,0,0
9990015,01-03-24 06:05,1,1,0
9990090,09-03-24 22:10,1,1,0
9990159,12-03-24 22:00,1,1,0
9999172,01-03-24 13:58,1,0,0
9999172,01-03-24 21:31,1,1,0
9999247,01-03-24 07:27,1,0,0
9999396,05-03-24 09:21,1,0,0
9999505,08-03-24 07:33,1,0,0
9999509,01-03-24 06:57,1,0,0
9999509,01-03-24 14:35,1,1,0
9999509,02-03-24 20:51,1,0,0
9999509,03-03-24 07:08,1,1,0
9999509,05-03-24 13:51,1,0,0
9999509,05-03-24 21:42,1,1,0
9999509,06-03-24 06:47,1,0,0
9999509,06-03-24 14:43,1,1,0
9999509,08-03-24 13:59,1,0,0
9999509,08-03-24 21:48,1,1,0
9999509,12-03-24 09:54,1,0,0
9999509,12-03-24 17:00,1,1,0
9999525,04-03-24 06:14,1,1,0
9999529,01-03-24 20:55,1,1,0
9999531,10-03-24 12:59,1,0,0
9999550,14-03-24 07:47,1,0,0
9999715,01-03-24 07:35,1,0,0
9999715,01-03-24 16:57,1,1,0
9999715,04-03-24 07:20,1,0,0
9999715,04-03-24 17:07,1,1,0
9999715,05-03-24 07:34,1,0,0
9999715,05-03-24 16:26,1,1,0
9999715,06-03-24 07:34,1,0,0
9999715,06-03-24 16:17,1,1,0
9999715,07-03-24 07:41,1,0,0
9999715,07-03-24 16:24,1,1,0
9999715,08-03-24 07:08,1,0,0
9999715,08-03-24 07:09,1,0,0
9999715,08-03-24 16:41,1,1,0
9999715,13-03-24 07:54,1,0,0
9999715,13-03-24 15:32,1,1,0
9999761,01-03-24 07:24,1,0,0
9999761,01-03-24 16:39,1,1,0
9999761,04-03-24 07:29,1,0,0
9999761,04-03-24 16:06,1,1,0
9999761,05-03-24 07:29,1,0,0
9999761,05-03-24 16:04,1,1,0
9999761,06-03-24 07:30,1,0,0
9999762,01-03-24 07:21,1,0,0
9999762,01-03-24 20:11,1,1,0
9999762,04-03-24 06:53,1,1,0
9999762,04-03-24 16:02,1,0,0
9999762,05-03-24 07:01,1,1,0
9999762,05-03-24 16:04,1,1,0
9999762,06-03-24 07:11,1,0,0
9999762,06-03-24 16:40,1,1,0
9999762,07-03-24 07:12,1,0,0
9999762,07-03-24 16:08,1,1,0
9999762,08-03-24 07:09,1,0,0
9999762,08-03-24 16:55,1,1,0
9999762,13-03-24 07:09,1,0,0
9999762,13-03-24 16:04,1,1,0
9999762,14-03-24 07:10,1,0,0
9999763,01-03-24 07:30,1,0,0
9999763,01-03-24 16:47,1,1,0
9999763,04-03-24 07:43,1,0,0
9999763,04-03-24 16:28,1,1,0
9999763,06-03-24 07:43,1,0,0
9999763,06-03-24 16:21,1,1,0
9999763,07-03-24 07:44,1,0,0
9999763,07-03-24 16:02,1,1,0
9999763,08-03-24 07:50,1,0,0
9999763,08-03-24 17:01,1,1,0
9999763,14-03-24 08:03,1,0,0
9999766,01-03-24 07:21,1,0,0
9999766,01-03-24 15:38,1,1,0
9999766,02-03-24 09:45,1,0,0
9999766,02-03-24 16:17,1,1,0
9999766,04-03-24 11:31,1,0,0
9999766,04-03-24 20:17,1,1,0
9999766,05-03-24 11:40,1,0,0
9999766,05-03-24 20:21,1,1,0
9999766,06-03-24 06:40,1,0,0
9999766,06-03-24 15:04,1,1,0
9999766,07-03-24 06:58,1,0,0
9999766,07-03-24 15:23,1,1,0
9999766,09-03-24 06:46,1,0,0
9999766,09-03-24 14:16,1,1,0
9999766,10-03-24 07:12,1,0,0
9999766,10-03-24 14:51,1,1,0
9999766,13-03-24 12:44,1,0,0
9999766,13-03-24 20:03,1,1,0
9999766,14-03-24 07:35,1,0,0
9999767,01-03-24 07:16,1,0,0
9999767,01-03-24 14:34,1,1,0
9999767,02-03-24 07:15,1,0,0
9999767,02-03-24 13:00,1,1,0
9999767,05-03-24 07:29,1,0,0
9999767,05-03-24 15:00,1,1,0
9999767,06-03-24 07:30,1,0,0
9999767,06-03-24 15:02,1,1,0
9999767,07-03-24 07:25,1,0,0
9999767,07-03-24 15:02,1,1,0
9999767,08-03-24 07:21,1,0,0
9999767,08-03-24 15:39,1,1,0
9999767,09-03-24 07:07,1,0,0
9999767,09-03-24 13:07,1,1,0
9999767,12-03-24 07:51,1,0,0
9999767,12-03-24 11:45,1,1,0
9999769,01-03-24 13:57,1,0,0
9999769,01-03-24 21:48,1,1,0
9999769,02-03-24 21:04,1,0,0
9999769,03-03-24 08:02,1,1,0
9999769,03-03-24 21:00,1,1,0
9999769,04-03-24 07:41,1,0,0
9999770,01-03-24 08:27,1,0,0
9999770,02-03-24 13:53,1,1,0
9999770,02-03-24 21:34,1,0,0
9999770,03-03-24 13:47,1,1,0
9999770,03-03-24 22:42,1,1,0
9999770,05-03-24 20:57,1,1,0
9999770,07-03-24 13:55,1,0,0
9999770,07-03-24 22:26,1,1,0
9999772,01-03-24 09:59,1,0,0
9999772,01-03-24 20:01,1,1,0
9999772,04-03-24 11:02,1,0,0
9999772,04-03-24 20:01,1,1,0
9999772,05-03-24 11:16,1,0,0
9999772,05-03-24 20:04,1,1,0
9999772,06-03-24 11:07,1,0,0
9999772,06-03-24 20:01,1,1,0
9999772,07-03-24 11:07,1,0,0
9999772,07-03-24 11:07,1,0,0
9999772,07-03-24 20:02,1,1,0
9999772,08-03-24 10:06,1,0,0
9999773,01-03-24 10:46,1,0,0
9999773,01-03-24 20:01,1,1,0
9999773,04-03-24 11:02,1,0,0
9999773,04-03-24 20:01,1,1,0
9999773,05-03-24 11:16,1,0,0
9999773,05-03-24 20:03,1,1,0
9999773,06-03-24 11:07,1,0,0
9999773,06-03-24 20:01,1,1,0
9999773,07-03-24 11:07,1,0,0
9999773,07-03-24 20:01,1,1,0
9999774,01-03-24 09:59,1,0,0
9999774,01-03-24 20:01,1,1,0
9999774,04-03-24 11:14,1,0,0
9999774,04-03-24 20:01,1,1,0
