pin,scan_date,verify_mode,io_mode,work_code
16704,"2023-07-01 06:38:36",0,0,0
12804,"2023-07-01 06:42:02",0,0,0
12804,"2023-07-01 06:42:04",0,0,0
71105,"2023-07-01 06:45:10",0,0,0
112073,"2023-07-01 06:47:15",0,0,0
100347,"2023-07-01 06:48:55",0,0,0
11953,"2023-07-01 06:58:04",0,0,0
12936,"2023-07-01 07:08:45",0,0,0
112090,"2023-07-01 08:10:02",0,0,0
9136,"2023-07-01 08:33:15",0,0,0
12674,"2023-07-01 10:18:13",0,0,0
10571,"2023-07-01 13:19:36",0,0,0
116203,"2023-07-01 13:42:10",0,0,0
12804,"2023-07-01 13:47:27",0,1,0
12804,"2023-07-01 13:47:29",0,1,0
100307,"2023-07-01 13:50:53",0,0,0
71822,"2023-07-01 13:51:03",0,0,0
71805,"2023-07-01 13:54:48",0,0,0
71105,"2023-07-01 14:10:09",0,2,0
11953,"2023-07-01 14:16:45",0,0,0
12936,"2023-07-01 14:39:42",0,0,0
112073,"2023-07-01 14:47:40",0,2,0
12379,"2023-07-01 14:54:09",0,0,0
100347,"2023-07-01 15:20:20",0,2,0
12379,"2023-07-01 19:35:17",0,2,0
112091,"2023-07-01 20:20:24",0,0,0
10571,"2023-07-01 21:09:13",0,0,0
71805,"2023-07-01 21:34:35",0,1,0
100307,"2023-07-01 21:37:09",0,2,0
116203,"2023-07-01 21:48:22",0,2,0
71822,"2023-07-01 21:56:34",0,0,0
71822,"2023-07-01 21:56:36",0,0,0
112073,"2023-07-02 06:45:23",0,0,0
71105,"2023-07-02 06:46:11",0,0,0
2731,"2023-07-02 06:47:28",0,0,0
100347,"2023-07-02 06:49:20",0,0,0
116203,"2023-07-02 06:57:17",0,0,0
12804,"2023-07-02 07:26:26",0,0,0
12804,"2023-07-02 07:55:55",0,1,0
112091,"2023-07-02 08:03:42",0,0,0
112091,"2023-07-02 08:03:49",0,0,0
12379,"2023-07-02 08:05:14",0,0,0
12426,"2023-07-02 09:44:02",0,0,0
10571,"2023-07-02 13:14:31",0,0,0
100307,"2023-07-02 13:38:48",0,0,0
12936,"2023-07-02 14:00:46",0,0,0
11047,"2023-07-02 14:05:01",0,0,0
71105,"2023-07-02 14:33:54",0,2,0
116203,"2023-07-02 14:39:27",0,1,0
2731,"2023-07-02 14:47:07",0,0,0
12379,"2023-07-02 14:56:39",0,2,0
112073,"2023-07-02 15:00:19",0,0,0
112073,"2023-07-02 15:00:22",0,0,0
100347,"2023-07-02 15:12:50",0,2,0
112090,"2023-07-02 19:48:09",0,0,0
71822,"2023-07-02 20:47:27",0,0,0
11672,"2023-07-02 20:48:52",0,0,0
10571,"2023-07-02 21:20:23",0,0,0
11672,"2023-07-02 21:34:52",0,0,0
12936,"2023-07-02 21:41:14",0,0,0
100307,"2023-07-02 21:42:41",0,2,0
686,"2023-07-03 06:22:00",0,0,0
11181,"2023-07-03 06:36:38",0,0,0
12804,"2023-07-03 06:44:03",0,0,0
2731,"2023-07-03 06:46:37",0,0,0
71105,"2023-07-03 06:47:12",0,0,0
100347,"2023-07-03 06:49:34",0,0,0
71805,"2023-07-03 06:50:20",0,0,0
12385,"2023-07-03 07:03:53",0,0,0
12837,"2023-07-03 07:09:16",0,0,0
8936,"2023-07-03 07:13:46",0,0,0
